               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  34,            0.046983,             0.00882,            0.023052,             0.42931,            0.041667,            0.015366,           0.0090945,            0.018654,           0.0027085,           0.0080674,           0.0077907,           0.0077907,           0.0077907
                  35,            0.044695,           0.0088552,            0.022475,             0.42619,            0.078125,            0.010155,           0.0050927,            0.018571,           0.0023111,           0.0085469,           0.0076679,           0.0076679,           0.0076679
                  36,            0.042495,             0.00979,            0.021695,             0.51083,             0.01895,            0.012014,           0.0046099,            0.018458,           0.0022256,           0.0082877,            0.007543,            0.007543,            0.007543
                  37,            0.043431,           0.0088774,            0.020725,             0.17159,             0.19792,           0.0082559,            0.004111,            0.017999,           0.0024059,            0.007884,            0.007416,            0.007416,            0.007416
                  38,            0.043838,            0.010987,            0.020793,            0.088039,             0.33198,           0.0071328,           0.0037228,            0.018421,           0.0028457,           0.0077936,           0.0072872,           0.0072872,           0.0072872
                  39,            0.043377,           0.0093626,            0.021195,           0.0059256,             0.48958,           0.0079814,           0.0040958,            0.018583,           0.0023973,           0.0078879,           0.0071566,           0.0071566,           0.0071566
                  40,            0.045047,           0.0096463,             0.02198,             0.38423,             0.14583,            0.037274,            0.024124,             0.01839,           0.0027046,           0.0082559,           0.0070243,           0.0070243,           0.0070243
                  41,            0.044969,           0.0087326,            0.021141,            0.012425,              0.5625,            0.015949,           0.0090148,            0.018059,           0.0028037,            0.007621,           0.0068906,           0.0068906,           0.0068906
                  42,            0.043331,           0.0092111,            0.020726,            0.015216,                 0.5,            0.020225,           0.0087428,            0.017829,           0.0024645,           0.0076027,           0.0067555,           0.0067555,           0.0067555
                  43,            0.043538,           0.0093298,            0.020957,             0.42438,             0.15104,            0.010257,           0.0043452,            0.019014,           0.0026339,            0.007473,           0.0066191,           0.0066191,           0.0066191
                  44,            0.041624,             0.01079,            0.019265,           0.0077521,              0.5625,            0.014644,            0.008256,            0.017209,           0.0030668,           0.0072929,           0.0064816,           0.0064816,           0.0064816
                  45,            0.040458,           0.0094867,            0.018913,                0.43,               0.125,            0.016545,           0.0077291,            0.016992,           0.0030124,           0.0070659,           0.0063432,           0.0063432,           0.0063432
                  46,            0.040617,           0.0093008,            0.018729,            0.097516,              0.3125,            0.016683,           0.0097129,            0.016986,           0.0024865,           0.0068798,            0.006204,            0.006204,            0.006204
                  47,            0.042312,           0.0079018,            0.017748,            0.094501,             0.53646,            0.016995,           0.0082962,            0.017372,           0.0025444,           0.0067722,            0.006064,            0.006064,            0.006064
                  48,            0.043917,           0.0094017,            0.018568,             0.17898,             0.30208,            0.014181,           0.0081898,            0.017694,           0.0025497,           0.0069348,           0.0059235,           0.0059235,           0.0059235
                  49,            0.041144,           0.0078171,            0.017875,             0.42919,             0.16146,            0.016223,            0.009853,            0.017372,             0.00264,           0.0069776,           0.0057826,           0.0057826,           0.0057826
                  50,            0.039802,           0.0089523,            0.018257,              0.4267,             0.15104,             0.01221,           0.0072861,            0.017538,           0.0031427,            0.007357,           0.0056413,           0.0056413,           0.0056413
                  51,            0.040526,           0.0094749,            0.018686,             0.18859,             0.56771,            0.023407,            0.011691,            0.017028,           0.0035431,           0.0069688,              0.0055,              0.0055,              0.0055
                  52,            0.042766,           0.0094784,            0.018362,            0.092894,             0.36458,            0.015654,           0.0098646,            0.017793,           0.0023035,           0.0068152,           0.0053587,           0.0053587,           0.0053587
                  53,            0.042106,            0.010113,            0.019238,             0.10615,             0.55729,            0.027469,            0.015746,            0.017053,           0.0028843,           0.0069352,           0.0052174,           0.0052174,           0.0052174
                  54,            0.040368,           0.0092526,            0.018658,            0.025417,             0.64583,            0.041244,            0.023943,            0.016584,           0.0024989,           0.0066919,           0.0050765,           0.0050765,           0.0050765
                  55,            0.039575,           0.0079591,            0.017395,             0.43573,             0.19792,            0.022782,            0.013277,            0.017041,           0.0030449,             0.00689,            0.004936,            0.004936,            0.004936
                  56,            0.037771,           0.0086836,            0.017109,             0.42334,             0.14062,            0.013366,           0.0073582,            0.018178,           0.0026387,           0.0067606,            0.004796,            0.004796,            0.004796
                  57,             0.04006,            0.009397,            0.017671,             0.42835,             0.11979,            0.015496,            0.010507,            0.016974,           0.0035788,           0.0069335,           0.0046568,           0.0046568,           0.0046568
                  58,            0.037587,           0.0087017,            0.017262,           0.0075703,             0.55208,            0.013651,           0.0076957,             0.01697,           0.0034261,           0.0067835,           0.0045184,           0.0045184,           0.0045184
                  59,            0.040119,           0.0086457,            0.018015,            0.091142,             0.35938,            0.012171,           0.0069979,            0.017703,           0.0029777,           0.0068257,           0.0043809,           0.0043809,           0.0043809
                  60,            0.039792,            0.009062,            0.017045,             0.26122,              0.3125,            0.015823,           0.0095558,            0.016441,           0.0030568,           0.0067141,           0.0042445,           0.0042445,           0.0042445
                  61,            0.039463,           0.0091865,            0.018409,             0.47576,              0.1875,             0.05621,            0.034107,             0.01636,           0.0025966,            0.006512,           0.0041094,           0.0041094,           0.0041094
                  62,            0.038989,           0.0085547,            0.016958,             0.44478,                0.25,            0.041218,            0.027782,            0.016674,           0.0029182,           0.0065377,           0.0039757,           0.0039757,           0.0039757
                  63,            0.037786,              0.0107,            0.017004,            0.019753,             0.53125,            0.025475,            0.014788,            0.017006,           0.0027945,           0.0063427,           0.0038434,           0.0038434,           0.0038434
                  64,            0.037272,            0.009952,            0.015584,             0.10066,             0.52604,             0.02416,            0.013863,             0.01657,            0.003413,           0.0063463,           0.0037128,           0.0037128,           0.0037128
                  65,            0.036784,           0.0068722,            0.017235,            0.097571,             0.48958,             0.01827,            0.012135,            0.016385,            0.002426,           0.0065508,            0.003584,            0.003584,            0.003584
                  66,            0.038517,            0.010144,            0.016593,             0.43133,             0.11979,            0.025985,            0.016222,            0.016439,           0.0036612,           0.0065331,            0.003457,            0.003457,            0.003457
                  67,            0.039332,            0.010795,            0.016665,             0.43982,             0.19271,            0.038736,            0.023202,            0.016624,           0.0031678,           0.0063162,           0.0033321,           0.0033321,           0.0033321
                  68,            0.037711,           0.0092235,            0.016475,             0.34896,             0.36979,            0.020423,            0.013053,            0.016387,           0.0035454,           0.0061589,           0.0032093,           0.0032093,           0.0032093
                  69,            0.040129,           0.0093095,            0.015765,             0.26504,             0.35935,            0.021711,            0.012863,            0.016797,           0.0033991,           0.0062552,           0.0030888,           0.0030888,           0.0030888
                  70,            0.037887,           0.0080712,            0.016356,             0.27751,             0.50996,            0.037544,            0.023002,            0.016279,           0.0033729,           0.0063034,           0.0029706,           0.0029706,           0.0029706
                  71,            0.036563,           0.0092176,            0.015412,              0.2709,             0.29688,            0.034813,            0.023027,            0.016526,           0.0034184,           0.0061934,            0.002855,            0.002855,            0.002855
                  72,            0.035433,           0.0091343,             0.01472,             0.27856,             0.35938,            0.033878,            0.022939,            0.015916,           0.0031167,           0.0062584,           0.0027419,           0.0027419,           0.0027419
                  73,            0.036321,           0.0094767,            0.015481,             0.28696,             0.36831,             0.04749,            0.031042,            0.016041,           0.0035392,            0.005995,           0.0026316,           0.0026316,           0.0026316
                  74,            0.036613,           0.0089417,            0.015784,             0.28081,             0.32812,            0.040524,            0.026546,            0.016144,           0.0042034,           0.0060781,           0.0025241,           0.0025241,           0.0025241
                  75,            0.034882,           0.0085406,            0.015602,             0.44645,             0.11979,            0.050194,            0.031558,             0.01622,           0.0025684,            0.006152,           0.0024195,           0.0024195,           0.0024195
                  76,            0.035332,           0.0087507,            0.015166,             0.27483,              0.4375,            0.029176,            0.020501,            0.015732,           0.0032124,           0.0062207,            0.002318,            0.002318,            0.002318
                  77,            0.034654,            0.010427,            0.014837,             0.26948,             0.34896,            0.029445,            0.019124,            0.016243,           0.0027826,           0.0060663,           0.0022196,           0.0022196,           0.0022196
                  78,            0.038972,           0.0083584,            0.015469,             0.19642,             0.49479,            0.057759,             0.03528,            0.016124,           0.0023309,           0.0060776,           0.0021245,           0.0021245,           0.0021245
                  79,             0.03493,           0.0085484,            0.013734,             0.43297,             0.17708,            0.023342,            0.015972,            0.015585,           0.0032953,           0.0061256,           0.0020327,           0.0020327,           0.0020327
                  80,             0.03613,            0.009825,            0.015502,             0.27647,              0.4375,            0.037111,            0.024062,            0.015508,           0.0036313,           0.0060698,           0.0019443,           0.0019443,           0.0019443
                  81,            0.036054,           0.0092185,             0.01504,             0.28136,             0.42677,            0.040505,            0.026517,            0.015587,           0.0031786,           0.0061342,           0.0018594,           0.0018594,           0.0018594
                  82,            0.032647,           0.0088415,            0.014196,             0.28016,              0.3125,            0.029537,            0.020116,            0.015502,           0.0028229,           0.0060356,           0.0017781,           0.0017781,           0.0017781
                  83,            0.037967,            0.009442,            0.016926,             0.28014,             0.45833,            0.060089,            0.039857,            0.015563,           0.0036543,           0.0058862,           0.0017005,           0.0017005,           0.0017005
                  84,            0.035144,           0.0097266,            0.015207,             0.19827,             0.49479,            0.046322,            0.030786,            0.015492,           0.0032416,           0.0059871,           0.0016267,           0.0016267,           0.0016267
                  85,            0.033685,           0.0092669,            0.014549,             0.27793,             0.54167,            0.036756,            0.024443,            0.015572,            0.004043,           0.0058438,           0.0015566,           0.0015566,           0.0015566
                  86,            0.033943,           0.0097741,            0.014376,             0.28094,             0.34375,            0.039116,            0.026013,            0.015559,           0.0027666,            0.005914,           0.0014905,           0.0014905,           0.0014905
                  87,            0.034264,           0.0096292,            0.014872,             0.28164,             0.36458,            0.032539,            0.021896,            0.015516,           0.0029277,           0.0059531,           0.0014283,           0.0014283,           0.0014283
                  88,            0.034994,            0.010384,            0.014749,             0.30442,             0.46806,            0.071338,            0.048298,            0.015722,           0.0030312,           0.0057807,           0.0013701,           0.0013701,           0.0013701
                  89,            0.036058,           0.0081017,            0.015286,             0.30764,             0.52083,            0.095711,            0.065011,             0.01595,           0.0027618,           0.0058695,            0.001316,            0.001316,            0.001316
                  90,            0.036162,           0.0092489,            0.014968,             0.30414,             0.38021,            0.071875,            0.048005,            0.015745,           0.0032778,           0.0059186,            0.001266,            0.001266,            0.001266
                  91,            0.036074,           0.0093314,            0.014696,              0.2975,             0.39583,            0.065825,            0.044918,            0.015592,           0.0030458,           0.0058593,           0.0012202,           0.0012202,           0.0012202
                  92,            0.033388,           0.0088831,            0.013615,             0.30304,             0.53013,            0.089219,             0.05528,            0.015615,           0.0028404,           0.0058336,           0.0011787,           0.0011787,           0.0011787
                  93,            0.033535,           0.0083852,             0.01444,             0.36817,             0.21354,            0.095719,            0.061168,            0.015726,           0.0024402,           0.0057885,           0.0011414,           0.0011414,           0.0011414
                  94,            0.034896,           0.0092241,            0.014498,              0.2072,             0.41146,            0.062101,            0.037548,            0.015574,           0.0027427,           0.0057961,           0.0011084,           0.0011084,           0.0011084
                  95,            0.034664,           0.0091406,            0.013533,             0.22341,             0.44271,            0.091987,            0.057226,            0.015589,           0.0029748,           0.0058159,           0.0010797,           0.0010797,           0.0010797
                  96,            0.034643,           0.0085736,            0.014325,              0.3144,             0.43193,             0.10805,            0.073366,            0.015553,           0.0031114,           0.0057289,           0.0010554,           0.0010554,           0.0010554
                  97,            0.033494,            0.008529,            0.013258,              0.2222,             0.50266,             0.10098,            0.066509,            0.015621,           0.0027029,           0.0056783,           0.0010355,           0.0010355,           0.0010355
                  98,            0.037166,           0.0080708,            0.014776,             0.24481,             0.55636,             0.15317,            0.096943,             0.01567,           0.0022551,           0.0056841,             0.00102,             0.00102,             0.00102
                  99,            0.034812,           0.0088052,            0.014657,             0.16935,               0.748,             0.15367,             0.08737,            0.015498,           0.0024768,           0.0057487,           0.0010089,           0.0010089,           0.0010089
