               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.053421,            0.053589,            0.034212,             0.71315,             0.32653,             0.34187,             0.16112,            0.050484,            0.054734,            0.031244,           0.0027433,           0.0027433,            0.073243
                  37,            0.060534,            0.052566,            0.033584,             0.65619,             0.32118,             0.33535,              0.1253,            0.052152,            0.059478,             0.03061,           0.0028061,           0.0028061,            0.072506
                  38,            0.052922,             0.05067,            0.033287,             0.84891,             0.26974,              0.3481,              0.1555,            0.053559,            0.057474,            0.030274,            0.002868,            0.002868,            0.071768
                  39,            0.051778,            0.048335,            0.032746,             0.75188,              0.3454,             0.39309,             0.19131,              0.0492,            0.054681,            0.029887,            0.002929,            0.002929,            0.071029
                  40,            0.050151,            0.049434,             0.03238,             0.76277,             0.32187,             0.37718,             0.18465,            0.048295,            0.056836,            0.029477,            0.002989,            0.002989,            0.070289
                  41,            0.058809,              0.0515,            0.032231,             0.70468,             0.31176,             0.31526,             0.10003,            0.055666,            0.057912,            0.028896,            0.003048,            0.003048,            0.069548
                  42,             0.05774,            0.051716,            0.032024,              0.5996,             0.40933,              0.3941,             0.17182,            0.050844,            0.054914,            0.028609,           0.0031061,           0.0031061,            0.068806
                  43,            0.051728,            0.048259,            0.031178,             0.50095,             0.46389,             0.39545,              0.1905,            0.049154,            0.055019,            0.028061,           0.0031632,           0.0031632,            0.068063
                  44,            0.063308,            0.052937,            0.031491,             0.75054,             0.38882,             0.45939,             0.17971,            0.051637,            0.054283,            0.027678,           0.0032193,           0.0032193,            0.067319
                  45,            0.057542,             0.05173,            0.031015,             0.79175,             0.27388,             0.39392,             0.17117,            0.049904,            0.058436,            0.027554,           0.0032743,           0.0032743,            0.066574
                  46,            0.051463,            0.051789,            0.030424,             0.62427,             0.37703,             0.30426,             0.13324,            0.053038,            0.055497,            0.026979,           0.0033283,           0.0033283,            0.065828
                  47,            0.050235,             0.05113,            0.029859,             0.71711,             0.40457,             0.43704,              0.2206,            0.049699,            0.054606,            0.026756,           0.0033813,           0.0033813,            0.065081
                  48,            0.066897,             0.05172,            0.030149,             0.75822,             0.39361,             0.47375,             0.21194,            0.050646,            0.053279,            0.026283,           0.0034331,           0.0034331,            0.064333
                  49,            0.049823,            0.047308,            0.029633,             0.76694,             0.30656,             0.37731,             0.14173,            0.049929,            0.054464,            0.025792,           0.0034839,           0.0034839,            0.063584
